10
0001     3.0     5.0    10.0     6.1     9.0    3.0    10.0    10.0    18.3     9.0    6.3     AP
0002     3.6     6.7     3.0     2.1     6.3    3.6    13.4     3.0     6.3     6.3    4.1     RP
0003     8.9     2.6     3.4     3.3     2.9    8.9     5.2     3.4     9.9     2.9    3.8     RP
0004     9.0     7.0     7.1     9.0    10.0    9.0    14.0     7.1    27.0    10.0    8.4     AP
0005     4.0    10.0     6.6     4.1     3.4    4.0    20.0     6.6    12.3     3.4    5.8     RP
0006     4.6     2.1     5.1     8.6     4.0    4.6     4.2     5.1    25.8     4.0    5.5     RP
0007     9.3     4.1    10.0     9.0     7.7    9.3     8.2    10.0    27.0     7.7    7.8     AP
0008     1.3     9.0     7.0     3.6     9.0    1.3    18.0     7.0    10.8     9.0    5.8     RP
0009     7.7     2.3     1.0     7.1     5.1    7.7     4.6     1.0    21.3     5.1    5.0     RP
0010    10.0     4.6     5.9     1.9     7.1   10.0     9.2     5.9     5.7     7.1    4.7     RP
